AC.ID	geno	tment	Obs	HHMMSS	FTime	EBal.	Photo	Cond	Ci	FCnt	DCnt	Fo	Fm	Fo.	Fm.	Fs	Fv..Fm.	PhiPS2	Adark	RedAbs	BlueAbs	X.Blue	LeafAbs	PhiCO2	qP	qN	NPQ	ParIn.Fs	PS2.1	ETR	Trmmol	VpdL	CTleaf	Area	BLC_1	StmRat	BLCond	Tair	Tleaf	TBlk	CO2R	CO2S	H2OR	H2OS	RH_R	RH_S	Flow	PARi	PARo	Press	CsMch	HsMch	StableF	BLCslope	BLCoffst	f_parin	f_parout	alphaK	Status	fda	Trans	Tair_K	Twall_K	R.W.m2.	Tl.Ta	SVTleaf	h2o_i	h20diff	CTair	SVTair	CndTotal	vp_kPa	VpdA	CndCO2	Ci_Pa	Ci.Ca	RHsfc	C2sfc	AHs.Cs	PARabs	Fv.
102	46	co	157	0.666724537	4723	0	6.285495998	0.408958231	67.54948791	38	38	0	0	324.0908203	540.4902344	426.984375	0.400376178	0.210005384	-1	0.87	0.92	8.985462189	0.874492731	0.004166837	0.524520179	1.66771226	-1	1999.159546	0.5	183.5710081	7.804898212	1.528974173	21.87071609	2	4.644859791	1	9.289719582	20.59715652	21.87071609	19.99059486	100.3368149	95.65337372	8.915759087	14.04093266	28.78339005	45.32935715	300.2946167	1999.384888	290.710022	78.60466003	1.612204075	-1.289707422	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.501473083	0.007804898	295.0207161	293.7471565	319.9015749	-0.153297878	2.632656911	33.49237704	19.45144438	21.23393631	2.532040684	0.391713939	1.103682738	1.428357946	0.246314225	5.309704533	0.706190334	43.01739249	94.73995329	0.02853977	1748.447551	216.3994141
102	46	co	165	0.669270833	4942.5	0	1.707093668	0.415862904	40.81783288	39	39	0	0	330.1994629	515.0427246	431.5358887	0.358889181	0.162135745	-1	0.87	0.92	8.985462189	0.874492731	0.001548341	0.451771058	1.559792739	-1	1999.510742	0.5	141.7518455	7.989379629	1.540272304	21.90472984	2	4.644859791	1	9.289719582	20.8705864	21.90472984	20.38002014	50.46996689	49.07199097	8.720009804	13.96640873	27.68219757	44.33720779	300.3125305	1999.310913	252.5838165	78.60690308	1.379122257	-1.265657663	1	-1.355140209	7.355140209	1	0	0.159999996	111115	1.501562653	0.00798938	295.0547298	294.0205864	319.8897389	-0.175444811	2.638128441	33.56102757	19.59461884	21.38765812	2.556016421	0.398044092	1.097856137	1.458160283	0.250319368	3.208563433	0.831794922	42.75630938	48.82391282	0.014949442	1748.382861	184.8432617
188	46	co	148	0.617986111	4408	0	74.55932969	0.332637725	1500.586979	35	34	528.1994629	2521.087402	469.7749023	876.2615967	616.5788574	0.463887378	0.296352984	-1	0.87	0.92	0.42928049	0.87021464	0.043420125	0.638846838	0.801840678	1.877094479	2001.741577	0.5	258.115274	8.080629498	1.90282872	27.09416771	2	4.644859791	1	9.289719582	23.3506012	27.09416771	21.28570366	1999.295044	1939.112671	16.39800072	21.67097092	44.56285477	58.89256287	299.8505249	1999.726685	0.222897261	78.26940918	-2.80850172	1.634287953	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499252625	0.008080629	300.2441677	296.5006012	319.9562624	-0.316489743	3.59900281	45.98224067	24.31126976	25.22238445	3.222079915	0.321138686	1.69617409	1.525905825	0.201714063	117.4500563	0.773852392	47.16964084	1928.277565	0.018238748	1740.191437	406.4866943
188	46	co	135	0.613761574	4043.5	0	70.89436579	0.346375229	1056.583368	34	33	528.1994629	2521.087402	475.151123	900.28479	633.3718262	0.472221315	0.296476145	-1	0.87	0.92	0.42836687	0.870214183	0.041273642	0.627833043	0.792205812	1.800322109	2000.729492	0.5	258.09185	8.369670875	1.894831633	27.20682716	2	4.644859791	1	9.289719582	23.54679108	27.20682716	21.46871567	1499.77002	1444.408447	16.61644745	22.07690811	44.62759018	59.29301071	299.7876892	2001.685791	0.261165887	78.27350616	0.209686756	1.642546773	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498938446	0.008369671	300.3568272	296.6967911	320.2697194	-0.362563745	3.622868636	46.28473686	24.20782875	25.37680912	3.251814148	0.333924563	1.728037003	1.523777145	0.209786859	82.70248479	0.731499023	47.79359899	1434.105941	0.023626545	1741.895366	425.133667
188	46	co	118	0.608136574	3556.5	0	67.71826793	0.356775584	844.9636864	33	32	528.1994629	2521.087402	474.2324219	903.5831299	635.432373	0.475164591	0.296763793	-1	0.87	0.92	0.42928049	0.87021464	0.039468923	0.624549469	0.790238824	1.790100124	1997.7677	0.5	257.9599536	8.289281578	1.826478454	26.55279732	2	4.644859791	1	9.289719582	22.91589165	26.55279732	20.85367584	1249.66272	1197.859375	15.79013538	21.20314598	44.05873489	59.16249847	299.7785645	2000.739502	0.202630848	78.27820587	1.460175037	1.596583486	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498892822	0.008289282	299.7027973	296.0658916	320.1183132	-0.346985356	3.48622268	44.53631303	23.33316705	24.73434448	3.129664559	0.34358024	1.659744226	1.469920333	0.215885425	66.1422414	0.705394727	47.83160128	1188.018425	0.027264503	1741.072806	429.350708
188	46	co	111	0.606018519	3374	0	60.98802401	0.360538471	643.6252548	32	31	528.1994629	2521.087402	474.2792969	894.9041748	635.2502441	0.470022255	0.290147189	-1	0.87	0.92	0.430198103	0.870215099	0.035649543	0.617305215	0.79449716	1.817159058	2000.397949	0.5	252.5407039	8.443645675	1.843615443	26.23757362	2	4.644859791	1	9.289719582	22.68850327	26.23757362	20.63150787	1000.26416	954.2036743	14.64379597	20.16304779	41.42837906	57.04274368	299.8013611	1998.145996	0.12007802	78.28035736	2.122284412	1.556885839	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499006805	0.008443646	299.3875736	295.8385033	319.7033522	-0.371451699	3.421986029	43.71449167	23.55144388	24.46303844	3.079298722	0.347068573	1.578370587	1.500928136	0.218089122	50.38321495	0.67451559	46.42613789	945.3407768	0.02995151	1738.816816	420.6248779
188	46	co	96	0.601087963	2948.5	0	55.16923732	0.389461569	499.2871558	31	30	528.1994629	2521.087402	465.7775879	866.6162109	621.0878906	0.462533031	0.283318402	-1	0.87	0.92	0.430198103	0.870215099	0.032248399	0.612536583	0.804974111	1.909116366	2001.845093	0.5	246.7754035	8.929676371	1.81245121	25.7710495	2	4.644859791	1	9.289719582	22.43609047	25.7710495	20.38988686	799.2783813	757.9605103	13.52685928	19.36837196	38.86471558	55.64826965	299.8101196	2001.537598	0.09006159	78.29068756	2.43759203	1.532687306	1	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499050598	0.008929676	298.9210495	295.5860905	320.2460085	-0.444744127	3.328814368	42.51865033	23.15027836	24.10356998	3.013658301	0.37379079	1.516363158	1.497295143	0.234978376	39.08953472	0.658724497	46.07481547	749.9432101	0.033894732	1741.768239	400.838623
188	46	co	71	0.59255787	2211.5	0	47.38687539	0.44972565	372.3688496	30	29	528.1994629	2521.087402	456.7155762	831.5654297	605.2106934	0.450776139	0.272203158	-1	0.87	0.92	0.430198103	0.870215099	0.027767202	0.603854408	0.81841941	2.031736665	2001.206299	0.5	237.0181696	9.50384671	1.681738618	25.29470825	2	4.644859791	1	9.289719582	22.14795494	25.29470825	20.1064167	599.6361694	564.440918	13.63450336	19.8495388	39.87213135	58.04710388	299.7633667	2002.483032	0.018011384	78.30093384	2.40860033	1.528731465	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498816833	0.009503847	298.4447083	295.2979549	320.397278	-0.536376649	3.235976043	41.32742592	21.47788712	23.7213316	2.945205197	0.428959255	1.554237425	1.390967772	0.269891005	29.15682866	0.659712713	48.8655712	557.5545657	0.041531123	1742.59097	374.8498535
188	46	co	51	0.585509259	1603.5	0	43.03294377	0.497224086	311.3190698	29	28	528.1994629	2521.087402	446.5327148	784.3640137	583.4077148	0.43070729	0.256202854	-1	0.87	0.92	0.430198103	0.870215099	0.025271263	0.594842158	0.837154788	2.214180353	2000.915405	0.5	223.0536374	10.06214226	1.61807929	25.21089363	2	4.644859791	1	9.289719582	22.22781181	25.21089363	20.16665077	501.2145386	469.3573914	13.88047409	20.45548439	40.39738464	59.53313446	299.8114319	2002.276978	0.385003597	78.30651093	2.141022205	1.503306508	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499057159	0.010062142	298.3608936	295.3778118	320.3643092	-0.627558301	3.219876902	41.11889119	20.6634068	23.71935272	2.944854378	0.471962697	1.601797612	1.343056766	0.297146807	24.37831014	0.663287881	50.78506677	463.1037608	0.047190956	1742.411658	337.8312988
188	46	co	106	0.604114584	3209.75	0	32.04816574	0.409208292	233.8066415	32	31	528.1994629	2521.087402	469.5535889	864.3733521	636.0600586	0.456598772	0.26480599	-1	0.87	0.92	0.429739297	0.87021487	0.01897516	0.580475925	0.807490865	1.920188375	2000.351868	0.5	230.4692335	9.015553001	1.776080856	26.09181786	2	4.644859791	1	9.289719582	22.58713341	26.09181786	20.53546429	400.9195557	377.2689819	14.83460188	20.72526264	42.14879799	58.99030876	299.7657318	2001.430115	0.242038854	78.27717209	2.358124256	1.540394902	0.625	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498828659	0.009015553	299.2418179	295.7371335	320.2288112	-0.468133172	3.398382592	43.41562967	22.69036703	24.33947563	3.06024105	0.391398673	1.622301736	1.437939314	0.246162511	18.30197253	0.619879054	48.37455642	372.6116806	0.041844431	1741.674247	394.8197632
